song_id,filename,instrument,song_type,main_theme,subtheme_1,subtheme_2,subtheme_3,char_count,line_count
song_101_211_321,song_101_211_321_フレームドラム_ワルツ_星図観測.txt,フレームドラム,ワルツ,星図観測,古い名を読む,途切れた足音,明日へ続く砂道,465,20
song_101_211_322,song_101_211_322_フレームドラム_ワルツ_禁書目録.txt,フレームドラム,ワルツ,禁書目録,木札の触れる音,石橋のたもと,まぶたの重さ,465,20
song_101_211_323,song_101_211_323_フレームドラム_ワルツ_森の交信.txt,フレームドラム,ワルツ,森の交信,古い金具の鈍い光,丸い水盤,まだ帰れない理由,466,20
song_101_212_321,song_101_212_321_フレームドラム_タンゴ_星図観測.txt,フレームドラム,タンゴ,星図観測,雲が切れる瞬間,古い予言の端,薬草の苦み,464,20
song_101_212_322,song_101_212_322_フレームドラム_タンゴ_禁書目録.txt,フレームドラム,タンゴ,禁書目録,扉の前で迷う,落ちる花飾り,隊商の後ろ姿,464,20
song_101_212_323,song_101_212_323_フレームドラム_タンゴ_森の交信.txt,フレームドラム,タンゴ,森の交信,鍵が鳴る音,旅芸人宿の廊下,石の冷たさ,463,20
song_101_311_221,song_101_311_221_フレームドラム_ノクターン_薔薇.txt,フレームドラム,ノクターン,薔薇,薄紫の夕空,古い星盤,言えなかった約束,463,20
song_101_311_222,song_101_311_222_フレームドラム_ノクターン_香辛市場.txt,フレームドラム,ノクターン,香辛市場,市場が開く前,封じられた輪,乾いた香辛料,466,20
song_101_311_223,song_101_311_223_フレームドラム_ノクターン_婚礼行列.txt,フレームドラム,ノクターン,婚礼行列,窓を開けない,戻れない橋,砂に消える足跡,466,20
song_101_312_221,song_101_312_221_フレームドラム_チャント_薔薇.txt,フレームドラム,チャント,薔薇,胸の中の鼓動,水路沿いの階段,汗ばむ掌,462,20
song_101_312_222,song_101_312_222_フレームドラム_チャント_香辛市場.txt,フレームドラム,チャント,香辛市場,濡れた石の光,油紙の包み,戻れない夜,463,20
song_101_312_223,song_101_312_223_フレームドラム_チャント_婚礼行列.txt,フレームドラム,チャント,婚礼行列,夜更けの階段,読めない碑文,雨上がりの土,465,20
song_102_211_321,song_102_211_321_エレキギター_ワルツ_星図観測.txt,エレキギター,ワルツ,星図観測,声を落とす,崩れた石段,荷札の裏の名前,462,20
song_102_211_322,song_102_211_322_エレキギター_ワルツ_禁書目録.txt,エレキギター,ワルツ,禁書目録,止まらない拍,高い塔の窓,指でなぞる欠け,463,20
song_102_211_323,song_102_211_323_エレキギター_ワルツ_森の交信.txt,エレキギター,ワルツ,森の交信,水面の銀色,旅鞄の紐,はじめての勇気,461,20
song_102_212_321,song_102_212_321_エレキギター_タンゴ_星図観測.txt,エレキギター,タンゴ,星図観測,夕暮れの長い影,夢に出た扉,干した果実の甘さ,465,20
song_102_212_322,song_102_212_322_エレキギター_タンゴ_禁書目録.txt,エレキギター,タンゴ,禁書目録,列から外れる,見つかる前の沈黙,古い道標,463,20
song_102_212_323,song_102_212_323_エレキギター_タンゴ_森の交信.txt,エレキギター,タンゴ,森の交信,舞台袖の沈黙,オアシスの木陰,乾いた唇,462,20
song_102_311_221,song_102_311_221_エレキギター_ノクターン_薔薇.txt,エレキギター,ノクターン,薔薇,曇った鏡,乾いた筆,追いかけない背中,461,20
song_102_311_222,song_102_311_222_エレキギター_ノクターン_香辛市場.txt,エレキギター,ノクターン,香辛市場,砂が冷える夕方,黒猫の通ったあと,甘い香油の気配,469,20
song_102_311_223,song_102_311_223_エレキギター_ノクターン_婚礼行列.txt,エレキギター,ノクターン,婚礼行列,小瓶を選ぶ,燃え移る紙,帰れない夕暮れ,464,20
song_102_312_221,song_102_312_221_エレキギター_チャント_薔薇.txt,エレキギター,チャント,薔薇,息を合わせる間,香辛料店の棚,冷えた指先,462,20
song_102_312_222,song_102_312_222_エレキギター_チャント_香辛市場.txt,エレキギター,チャント,香辛市場,赤い布の影,欠けた木札,ほどけない後悔,463,20
song_102_312_223,song_102_312_223_エレキギター_チャント_婚礼行列.txt,エレキギター,チャント,婚礼行列,息が白くなる夜,誰もいない声,塩気のある風,465,20
song_201_111_321,song_201_111_321_ウード_マーチ_星図観測.txt,ウード,マーチ,星図観測,緑の木漏れ日,油灯の煙,許されない願い,459,20
song_201_111_322,song_201_111_322_ウード_マーチ_禁書目録.txt,ウード,マーチ,禁書目録,古い花輪,青白い朝,砂道の曲がり角,457,20
song_201_111_323,song_201_111_323_ウード_マーチ_森の交信.txt,ウード,マーチ,森の交信,石を叩く音,頬に当たる砂,知らない星座,459,20
song_201_112_321,song_201_112_321_ウード_アンセム_星図観測.txt,ウード,アンセム,星図観測,鍵を握る,名前のない印,遅すぎた合図,459,20
song_201_112_322,song_201_112_322_ウード_アンセム_禁書目録.txt,ウード,アンセム,禁書目録,黄色い市場灯,市場の甘い湯気,守りたい秘密,462,20
song_201_112_323,song_201_112_323_ウード_アンセム_森の交信.txt,ウード,アンセム,森の交信,濡れた羽,月が高い時間,隊商宿の中庭,459,20
song_201_311_121,song_201_311_121_ウード_ノクターン_熱砂.txt,ウード,ノクターン,熱砂,夜風の低い音,喉に残る甘さ,遠回りの道,459,20
song_201_311_122,song_201_311_122_ウード_ノクターン_砂嵐.txt,ウード,ノクターン,砂嵐,風を待つ,風が選ぶ札,凍る返事,455,20
song_201_311_123,song_201_311_123_ウード_ノクターン_凱旋.txt,ウード,ノクターン,凱旋,淡い星明かり,古い紙の匂い,選べなかった道,461,20
song_201_312_121,song_201_312_121_ウード_チャント_熱砂.txt,ウード,チャント,熱砂,赤い紐,風が止まる一瞬,井戸のそば,456,20
song_201_312_122,song_201_312_122_ウード_チャント_砂嵐.txt,ウード,チャント,砂嵐,遠くの足音,胸の奥の痛み,見送るだけの門,459,20
song_201_312_123,song_201_312_123_ウード_チャント_凱旋.txt,ウード,チャント,凱旋,一歩だけ戻る,逆さの影,消える灯り,456,20
song_202_111_321,song_202_111_321_ピアノ_マーチ_星図観測.txt,ピアノ,マーチ,星図観測,消えかけた火,焼けた粉の匂い,隠した優しさ,461,20
song_202_111_322,song_202_111_322_ピアノ_マーチ_禁書目録.txt,ピアノ,マーチ,禁書目録,青い小瓶,昼下がりの熱気,墓地の石段,458,20
song_202_111_323,song_202_111_323_ピアノ_マーチ_森の交信.txt,ピアノ,マーチ,森の交信,荷馬の鈴,布越しの熱,遠い街の灯,456,20
song_202_112_321,song_202_112_321_ピアノ_アンセム_星図観測.txt,ピアノ,アンセム,星図観測,手紙をしまう,戻らない針,閉じる門,458,20
song_202_112_322,song_202_112_322_ピアノ_アンセム_禁書目録.txt,ピアノ,アンセム,禁書目録,煤けたランプ,金属の冷たい匂い,遠い憧れ,461,20
song_202_112_323,song_202_112_323_ピアノ_アンセム_森の交信.txt,ピアノ,アンセム,森の交信,割れた鏡,日差しの残る壁,大湖の岸辺,459,20
song_202_311_121,song_202_311_121_ピアノ_ノクターン_熱砂.txt,ピアノ,ノクターン,熱砂,市場のざわめき,肩に残る重さ,知らない宿の窓,462,20
song_202_311_122,song_202_311_122_ピアノ_ノクターン_砂嵐.txt,ピアノ,ノクターン,砂嵐,目を合わせない,光らない星,なくした鍵,459,20
song_202_311_123,song_202_311_123_ピアノ_ノクターン_凱旋.txt,ピアノ,ノクターン,凱旋,青い灯の揺れ,革袋の匂い,聞けなかった返事,461,20
song_202_312_121,song_202_312_121_ピアノ_チャント_熱砂.txt,ピアノ,チャント,熱砂,銀の鈴,熱が残る部屋,森の入口,454,20
song_202_312_122,song_202_312_122_ピアノ_チャント_砂嵐.txt,ピアノ,チャント,砂嵐,水が落ちる音,息を止める苦しさ,国境の古い旗,461,20
song_202_312_123,song_202_312_123_ピアノ_チャント_凱旋.txt,ピアノ,チャント,凱旋,返事を飲み込む,消えた足跡,迫る砂嵐,457,20
song_301_111_221,song_301_111_221_カーヌーン_マーチ_薔薇.txt,カーヌーン,マーチ,薔薇,朝に消える地図,乾いた夜風,小さな笑い声,460,20
song_301_111_222,song_301_111_222_カーヌーン_マーチ_香辛市場.txt,カーヌーン,マーチ,香辛市場,爪に残る粉,薄い帳面,黒い扉の艶,458,20
song_301_111_223,song_301_111_223_カーヌーン_マーチ_婚礼行列.txt,カーヌーン,マーチ,婚礼行列,少しだけの期待,白い屋根の上,野営の残り火,463,20
song_301_112_221,song_301_112_221_カーヌーン_アンセム_薔薇.txt,カーヌーン,アンセム,薔薇,鏡を避ける,動かない針,古い木箱の匂い,460,20
song_301_112_222,song_301_112_222_カーヌーン_アンセム_香辛市場.txt,カーヌーン,アンセム,香辛市場,水面の別の月,旅立ち前の空気,小瓶が鳴る音,464,20
song_301_112_223,song_301_112_223_カーヌーン_アンセム_婚礼行列.txt,カーヌーン,アンセム,婚礼行列,袖に残る水,灯りの芯,硝子越しの朝,460,20
song_301_211_121,song_301_211_121_カーヌーン_ワルツ_熱砂.txt,カーヌーン,ワルツ,熱砂,置いてきた笑顔,舞台裏の床,故郷の歌の断片,461,20
song_301_211_122,song_301_211_122_カーヌーン_ワルツ_砂嵐.txt,カーヌーン,ワルツ,砂嵐,袖に隠す,最後の一枚,焦げた砂糖,456,20
song_301_211_123,song_301_211_123_カーヌーン_ワルツ_凱旋.txt,カーヌーン,ワルツ,凱旋,同じ夢の続き,眠る街の端,遠い拍手,457,20
song_301_212_121,song_301_212_121_カーヌーン_タンゴ_熱砂.txt,カーヌーン,タンゴ,熱砂,足裏のざらつき,消えた値札,白い月明かり,460,20
song_301_212_122,song_301_212_122_カーヌーン_タンゴ_砂嵐.txt,カーヌーン,タンゴ,砂嵐,小さな嫉妬,市場の裏口,海を知らない歌,459,20
song_301_212_123,song_301_212_123_カーヌーン_タンゴ_凱旋.txt,カーヌーン,タンゴ,凱旋,灯りを守る,割れそうな瓶,砂混じりの空気,460,20
song_302_111_221,song_302_111_221_チェレスタ_マーチ_薔薇.txt,チェレスタ,マーチ,薔薇,消えかけた文字,夜明け前の静けさ,紙をめくる音,463,20
song_302_111_222,song_302_111_222_チェレスタ_マーチ_香辛市場.txt,チェレスタ,マーチ,香辛市場,背中を押す風,封を切れない手紙,青緑の影,462,20
song_302_111_223,song_302_111_223_チェレスタ_マーチ_婚礼行列.txt,チェレスタ,マーチ,婚礼行列,忘れたくない名前,古い門の影,港へ向かう風,463,20
song_302_112_221,song_302_112_221_チェレスタ_アンセム_薔薇.txt,チェレスタ,アンセム,薔薇,水面をのぞく,外れた留め金,花びらの青い匂い,463,20
song_302_112_222,song_302_112_222_チェレスタ_アンセム_香辛市場.txt,チェレスタ,アンセム,香辛市場,星がずれる夜,雨上がりの石畳,布がこすれる音,465,20
song_302_112_223,song_302_112_223_チェレスタ_アンセム_婚礼行列.txt,チェレスタ,アンセム,婚礼行列,耳の奥のざわめき,石の印,灰色の朝霧,461,20
song_302_211_121,song_302_211_121_チェレスタ_ワルツ_熱砂.txt,チェレスタ,ワルツ,熱砂,抱えたままの言葉,王宮の外廊,旅支度の朝,460,20
song_302_211_122,song_302_211_122_チェレスタ_ワルツ_砂嵐.txt,チェレスタ,ワルツ,砂嵐,印を探す,破れた地図,冷えた水の匂い,458,20
song_302_211_123,song_302_211_123_チェレスタ_ワルツ_凱旋.txt,チェレスタ,ワルツ,凱旋,鏡の中の砂,閉店後の灯り,門が軋む音,458,20
song_302_212_121,song_302_212_121_チェレスタ_タンゴ_熱砂.txt,チェレスタ,タンゴ,熱砂,膝についた砂,黒い栞,琥珀色の瓶,456,20
song_302_212_122,song_302_212_122_チェレスタ_タンゴ_砂嵐.txt,チェレスタ,タンゴ,砂嵐,失くした自信,地下遺跡の扉,置いてきた水筒,461,20
song_302_212_123,song_302_212_123_チェレスタ_タンゴ_凱旋.txt,チェレスタ,タンゴ,凱旋,最後に振り向く,隠した値札,眠い茶の香り,460,20
song_401_511_621,song_401_511_621_ブラスセクション_十拍サマアイ_墓標読解.txt,ブラスセクション,十拍サマアイ,墓標読解,荷を結び直す,誰かの気配,夢に出る家の灯,468,20
song_401_511_622,song_401_511_622_ブラスセクション_十拍サマアイ_破れた古文書.txt,ブラスセクション,十拍サマアイ,破れた古文書,階段のきしみ,噴水のふち,手首の鈴の重み,470,20
song_401_511_623,song_401_511_623_ブラスセクション_十拍サマアイ_予知夢の記録.txt,ブラスセクション,十拍サマアイ,予知夢の記録,暗い輪の跡,小さな地図,待たせたままの人,470,20
song_401_512_621,song_401_512_621_ブラスセクション_重い八拍舞曲_墓標読解.txt,ブラスセクション,重い八拍舞曲,墓標読解,祭りの後の広場,開かない本,銅貨に残る匂い,469,20
song_401_512_622,song_401_512_622_ブラスセクション_重い八拍舞曲_破れた古文書.txt,ブラスセクション,重い八拍舞曲,破れた古文書,足音を消す,近づく太鼓,帰り道のない地図,470,20
song_401_512_623,song_401_512_623_ブラスセクション_重い八拍舞曲_予知夢の記録.txt,ブラスセクション,重い八拍舞曲,予知夢の記録,砂を踏む音,細い路地の奥,砂の痛み,467,20
song_401_611_521,song_401_611_521_ブラスセクション_祈祷トランス_幻の舞台.txt,ブラスセクション,祈祷トランス,幻の舞台,金色の砂ぼこり,曲がった鍵,誰にも言わない嘘,470,20
song_401_611_522,song_401_611_522_ブラスセクション_祈祷トランス_旅芸人宿.txt,ブラスセクション,祈祷トランス,旅芸人宿,朝霧の向こう,眠らない石,遠い故郷の料理,468,20
song_401_611_523,song_401_611_523_ブラスセクション_祈祷トランス_香油取引.txt,ブラスセクション,祈祷トランス,香油取引,印を探す,途切れた足音,帰り道のない地図,468,20
song_401_612_521,song_401_612_521_ブラスセクション_単拍の呪歌_幻の舞台.txt,ブラスセクション,単拍の呪歌,幻の舞台,止まらない拍,大湖の岸辺,石の冷たさ,465,20
song_401_612_522,song_401_612_522_ブラスセクション_単拍の呪歌_旅芸人宿.txt,ブラスセクション,単拍の呪歌,旅芸人宿,曇った鏡,赤い紐,少しだけの期待,463,20
song_401_612_523,song_401_612_523_ブラスセクション_単拍の呪歌_香油取引.txt,ブラスセクション,単拍の呪歌,香油取引,祭りの後の広場,消えた足跡,砂混じりの空気,468,20
song_402_511_621,song_402_511_621_ティンパニ_十拍サマアイ_墓標読解.txt,ティンパニ,十拍サマアイ,墓標読解,荷を結び直す,最後の一枚,旅支度の朝,463,20
song_402_511_622,song_402_511_622_ティンパニ_十拍サマアイ_破れた古文書.txt,ティンパニ,十拍サマアイ,破れた古文書,石を叩く音,石橋のたもと,爪に残る粉,465,20
song_402_511_623,song_402_511_623_ティンパニ_十拍サマアイ_予知夢の記録.txt,ティンパニ,十拍サマアイ,予知夢の記録,琥珀色の瓶,古い花輪,まだ帰れない理由,466,20
song_402_512_621,song_402_512_621_ティンパニ_重い八拍舞曲_墓標読解.txt,ティンパニ,重い八拍舞曲,墓標読解,夕暮れの長い影,消えかけた文字,遠い故郷の料理,468,20
song_402_512_622,song_402_512_622_ティンパニ_重い八拍舞曲_破れた古文書.txt,ティンパニ,重い八拍舞曲,破れた古文書,鏡を避ける,凍る返事,明日へ続く砂道,465,20
song_402_512_623,song_402_512_623_ティンパニ_重い八拍舞曲_予知夢の記録.txt,ティンパニ,重い八拍舞曲,予知夢の記録,水が落ちる音,地下遺跡の扉,砂の痛み,465,20
song_402_611_521,song_402_611_521_ティンパニ_祈祷トランス_幻の舞台.txt,ティンパニ,祈祷トランス,幻の舞台,青い灯の揺れ,乾いた筆,ほどけない後悔,464,20
song_402_611_522,song_402_611_522_ティンパニ_祈祷トランス_旅芸人宿.txt,ティンパニ,祈祷トランス,旅芸人宿,熱が残る部屋,逆さの影,古い木箱の匂い,464,20
song_402_611_523,song_402_611_523_ティンパニ_祈祷トランス_香油取引.txt,ティンパニ,祈祷トランス,香油取引,袖に隠す,見つかる前の沈黙,荷札の裏の名前,466,20
song_402_612_521,song_402_612_521_ティンパニ_単拍の呪歌_幻の舞台.txt,ティンパニ,単拍の呪歌,幻の舞台,階段のきしみ,墓地の石段,布越しの熱,462,20
song_402_612_522,song_402_612_522_ティンパニ_単拍の呪歌_旅芸人宿.txt,ティンパニ,単拍の呪歌,旅芸人宿,黒い扉の艶,消えた値札,小さな嫉妬,461,20
song_402_612_523,song_402_612_523_ティンパニ_単拍の呪歌_香油取引.txt,ティンパニ,単拍の呪歌,香油取引,青白い朝,誰もいない声,油灯の煙,460,20
song_501_411_621,song_501_411_621_カマンチェ_アユーブ_墓標読解.txt,カマンチェ,アユーブ,墓標読解,濡れた石の光,銅貨に残る匂い,はじめての勇気,465,20
song_501_411_622,song_501_411_622_カマンチェ_アユーブ_破れた古文書.txt,カマンチェ,アユーブ,破れた古文書,薄い帳面,昼下がりの熱気,白い屋根の上,464,20
song_501_411_623,song_501_411_623_カマンチェ_アユーブ_予知夢の記録.txt,カマンチェ,アユーブ,予知夢の記録,紙をめくる音,肩に残る重さ,帰れない夕暮れ,466,20
song_501_412_621,song_501_412_621_カマンチェ_サイディ_墓標読解.txt,カマンチェ,サイディ,墓標読解,列から外れる,戻らない針,迫る砂嵐,460,20
song_501_412_622,song_501_412_622_カマンチェ_サイディ_破れた古文書.txt,カマンチェ,サイディ,破れた古文書,灰色の朝霧,塩気のある風,守りたい秘密,464,20
song_501_412_623,song_501_412_623_カマンチェ_サイディ_予知夢の記録.txt,カマンチェ,サイディ,予知夢の記録,封を切れない手紙,砂が冷える夕方,森の入口,466,20
song_501_611_421,song_501_611_421_カマンチェ_祈祷トランス_オアシス.txt,カマンチェ,祈祷トランス,オアシス,遠い拍手,息を止める苦しさ,見送るだけの門,466,20
song_501_611_422,song_501_611_422_カマンチェ_祈祷トランス_隊商.txt,カマンチェ,祈祷トランス,隊商,声を落とす,風が選ぶ札,戻れない橋,460,20
song_501_611_423,song_501_611_423_カマンチェ_祈祷トランス_宿命.txt,カマンチェ,祈祷トランス,宿命,水面の銀色,焼けた粉の匂い,追いかけない背中,465,20
song_501_612_421,song_501_612_421_カマンチェ_単拍の呪歌_オアシス.txt,カマンチェ,単拍の呪歌,オアシス,丸い水盤,夜明け前の静けさ,王宮の外廊,463,20
song_501_612_422,song_501_612_422_カマンチェ_単拍の呪歌_隊商.txt,カマンチェ,単拍の呪歌,隊商,荷馬の鈴,冷えた指先,砂に消える足跡,460,20
song_501_612_423,song_501_612_423_カマンチェ_単拍の呪歌_宿命.txt,カマンチェ,単拍の呪歌,宿命,一歩だけ戻る,古い予言の端,閉じる門,460,20
song_502_411_621,song_502_411_621_アコーディオン_アユーブ_墓標読解.txt,アコーディオン,アユーブ,墓標読解,淡い星明かり,古い紙の匂い,遠い憧れ,463,20
song_502_411_622,song_502_411_622_アコーディオン_アユーブ_破れた古文書.txt,アコーディオン,アユーブ,破れた古文書,割れた鏡,眠る街の端,古い門の影,463,20
song_502_411_623,song_502_411_623_アコーディオン_アユーブ_予知夢の記録.txt,アコーディオン,アユーブ,予知夢の記録,息を合わせる間,乾いた唇,野営の残り火,466,20
song_502_412_621,song_502_412_621_アコーディオン_サイディ_墓標読解.txt,アコーディオン,サイディ,墓標読解,返事を飲み込む,朝に消える地図,外れた留め金,467,20
song_502_412_622,song_502_412_622_アコーディオン_サイディ_破れた古文書.txt,アコーディオン,サイディ,破れた古文書,煤けたランプ,干した果実の甘さ,失くした自信,469,20
song_502_412_623,song_502_412_623_アコーディオン_サイディ_予知夢の記録.txt,アコーディオン,サイディ,予知夢の記録,濡れた羽,市場が開く前,井戸のそば,464,20
song_502_611_421,song_502_611_421_アコーディオン_祈祷トランス_オアシス.txt,アコーディオン,祈祷トランス,オアシス,砂を踏む音,耳の奥のざわめき,知らない星座,468,20
song_502_611_422,song_502_611_422_アコーディオン_祈祷トランス_隊商.txt,アコーディオン,祈祷トランス,隊商,手紙をしまう,鏡の中の砂,落ちる花飾り,464,20
song_502_611_423,song_502_611_423_アコーディオン_祈祷トランス_宿命.txt,アコーディオン,祈祷トランス,宿命,硝子越しの朝,焦げた砂糖,戻れない夜,463,20
song_502_612_421,song_502_612_421_アコーディオン_単拍の呪歌_オアシス.txt,アコーディオン,単拍の呪歌,オアシス,油紙の包み,夜更けの階段,旅芸人宿の廊下,466,20
song_502_612_422,song_502_612_422_アコーディオン_単拍の呪歌_隊商.txt,アコーディオン,単拍の呪歌,隊商,市場のざわめき,手首の鈴の重み,海を知らない歌,467,20
song_502_612_423,song_502_612_423_アコーディオン_単拍の呪歌_宿命.txt,アコーディオン,単拍の呪歌,宿命,風を待つ,光らない星,なくした鍵,460,20
song_601_411_521,song_601_411_521_チェロ_アユーブ_幻の舞台.txt,チェロ,アユーブ,幻の舞台,黒猫の通ったあと,朝霧の向こう,鍵が鳴る音,462,20
song_601_411_522,song_601_411_522_チェロ_アユーブ_旅芸人宿.txt,チェロ,アユーブ,旅芸人宿,指でなぞる欠け,石の印,白い月明かり,459,20
song_601_411_523,song_601_411_523_チェロ_アユーブ_香油取引.txt,チェロ,アユーブ,香油取引,聞けなかった返事,舞台裏の床,知らない宿の窓,463,20
song_601_412_521,song_601_412_521_チェロ_サイディ_幻の舞台.txt,チェロ,サイディ,幻の舞台,小瓶を選ぶ,遅すぎた合図,雨上がりの土,460,20
song_601_412_522,song_601_412_522_チェロ_サイディ_旅芸人宿.txt,チェロ,サイディ,旅芸人宿,水面の別の月,日差しの残る壁,門が軋む音,461,20
song_601_412_523,song_601_412_523_チェロ_サイディ_香油取引.txt,チェロ,サイディ,香油取引,胸の奥の痛み,黒い栞,消えかけた火,458,20
song_601_511_421,song_601_511_421_チェロ_十拍サマアイ_オアシス.txt,チェロ,十拍サマアイ,オアシス,忘れたくない名前,高い塔の窓,置いてきた水筒,465,20
song_601_511_422,song_601_511_422_チェロ_十拍サマアイ_隊商.txt,チェロ,十拍サマアイ,隊商,窓を開けない,崩れた石段,薬草の苦み,459,20
song_601_511_423,song_601_511_423_チェロ_十拍サマアイ_宿命.txt,チェロ,十拍サマアイ,宿命,開かない本,雲が切れる瞬間,木札の触れる音,462,20
song_601_512_421,song_601_512_421_チェロ_重い八拍舞曲_オアシス.txt,チェロ,重い八拍舞曲,オアシス,袖に残る水,曲がった鍵,薄紫の夕空,460,20
song_601_512_422,song_601_512_422_チェロ_重い八拍舞曲_隊商.txt,チェロ,重い八拍舞曲,隊商,選べなかった道,香辛料店の棚,遠い街の灯,461,20
song_601_512_423,song_601_512_423_チェロ_重い八拍舞曲_宿命.txt,チェロ,重い八拍舞曲,宿命,目を合わせない,破れた地図,市場の甘い湯気,462,20
song_602_411_521,song_602_411_521_グロッケンシュピール_アユーブ_幻の舞台.txt,グロッケンシュピール,アユーブ,幻の舞台,封じられた輪,風が止まる一瞬,小さな笑い声,469,20
song_602_411_522,song_602_411_522_グロッケンシュピール_アユーブ_旅芸人宿.txt,グロッケンシュピール,アユーブ,旅芸人宿,足裏のざらつき,欠けた木札,金色の砂ぼこり,469,20
song_602_411_523,song_602_411_523_グロッケンシュピール_アユーブ_香油取引.txt,グロッケンシュピール,アユーブ,香油取引,待たせたままの人,細い路地の奥,夢に出る家の灯,471,20
song_602_412_521,song_602_412_521_グロッケンシュピール_サイディ_幻の舞台.txt,グロッケンシュピール,サイディ,幻の舞台,足音を消す,割れそうな瓶,眠い茶の香り,467,20
song_602_412_522,song_602_412_522_グロッケンシュピール_サイディ_旅芸人宿.txt,グロッケンシュピール,サイディ,旅芸人宿,同じ夢の続き,旅立ち前の空気,布がこすれる音,470,20
song_602_412_523,song_602_412_523_グロッケンシュピール_サイディ_香油取引.txt,グロッケンシュピール,サイディ,香油取引,喉に残る甘さ,古い星盤,赤い布の影,465,20
song_602_511_421,song_602_511_421_グロッケンシュピール_十拍サマアイ_オアシス.txt,グロッケンシュピール,十拍サマアイ,オアシス,言えなかった約束,市場の裏口,隊商の後ろ姿,471,20
song_602_511_422,song_602_511_422_グロッケンシュピール_十拍サマアイ_隊商.txt,グロッケンシュピール,十拍サマアイ,隊商,扉の前で迷う,誰かの気配,冷えた水の匂い,468,20
song_602_511_423,song_602_511_423_グロッケンシュピール_十拍サマアイ_宿命.txt,グロッケンシュピール,十拍サマアイ,宿命,夢に出た扉,雨上がりの石畳,遠くの足音,467,20
song_602_512_421,song_602_512_421_グロッケンシュピール_重い八拍舞曲_オアシス.txt,グロッケンシュピール,重い八拍舞曲,オアシス,背中を押す風,青い小瓶,古い金具の鈍い光,470,20
song_602_512_422,song_602_512_422_グロッケンシュピール_重い八拍舞曲_隊商.txt,グロッケンシュピール,重い八拍舞曲,隊商,置いてきた笑顔,水路沿いの階段,古い道標,468,20
song_602_512_423,song_602_512_423_グロッケンシュピール_重い八拍舞曲_宿命.txt,グロッケンシュピール,重い八拍舞曲,宿命,水面をのぞく,隠した値札,花びらの青い匂い,469,20
